0	-18.342
0.0039063	-24.911
0.0078125	-20.307
0.011719	-7.8846
0.015625	3.9048
0.019531	8.1764
0.023438	4.443
0.027344	-2.4125
0.03125	-7.3063
0.035156	-8.9374
0.039063	-9.2407
0.042969	-9.9429
0.046875	-10.382
0.050781	-8.6229
0.054688	-4.1098
0.058594	1.1816
0.0625	4.122
0.066406	2.8414
0.070313	-1.8687
0.074219	-7.0013
0.078125	-9.1764
0.082031	-6.8352
0.085938	-1.5145
0.089844	2.9006
0.09375	2.901
0.097656	-1.7804
0.10156	-7.6209
0.10547	-9.78
0.10938	-5.5701
0.11328	3.9122
0.11719	14.867
0.12109	23.063
0.125	25.578
0.12891	21.768
0.13281	13.833
0.13672	6.2533
0.14063	3.04
0.14453	4.1076
0.14844	4.6232
0.15234	-0.38787
0.15625	-9.696
0.16016	-14.951
0.16406	-8.1179
0.16797	9.072
0.17188	24.042
0.17578	23.787
0.17969	7.6439
0.18359	-10.675
0.1875	-15.015
0.19141	-1.6972
0.19531	17.055
0.19922	24.457
0.20313	14.074
0.20703	-5.6973
0.21094	-20.558
0.21484	-22.777
0.21875	-15.535
0.22266	-7.0677
0.22656	-2.3413
0.23047	-0.45032
0.23438	1.6128
0.23828	4.5335
0.24219	6.365
0.24609	5.4964
0.25	2.6929
0.25391	-0.031052
0.25781	-1.8395
0.26172	-3.6171
0.26563	-6.0052
0.26953	-7.4861
0.27344	-5.2118
0.27734	1.7725
0.28125	10.233
0.28516	14.333
0.28906	10.356
0.29297	0.38279
0.29688	-8.8644
0.30078	-11.339
0.30469	-6.3501
0.30859	1.7259
0.3125	8.0486
0.31641	11.274
0.32031	13.012
0.32422	14.213
0.32813	13.322
0.33203	8.5168
0.33594	0.99243
0.33984	-5.1971
0.34375	-6.9347
0.34766	-4.8923
0.35156	-1.9432
0.35547	0.62123
0.35938	3.8678
0.36328	7.8567
0.36719	9.0764
0.37109	3.3597
0.375	-8.214
0.37891	-18.052
0.38281	-18.597
0.38672	-10.213
