fp1,patient,control,patientSurrogate,controlSurrogate
patient,,0.2254,0.2254,0.1835
control,,,1,0.4226
patientSurrogate,,,,0.7458
controlSurrogate,,,,
,,,,
fp2,patient,control,patientSurrogate,controlSurrogate
patient,,0.1835,0.2254,1
control,,,0.4226,0.1835
patientSurrogate,,,,0.2254
controlSurrogate,,,,
,,,,
,,,,
"fp1,fp2",patient,control,patientSurrogate,controlSurrogate
patient,,0.0422,0.0409,0.1747
control,,,0.7412,0.2956
patientSurrogate,,,,0.1019
controlSurrogate,,,,
